country_iso,country_name,year,gdp_pcap_constant_usd,gdp_pcap_ppp_constant_usd,hdi,ladder_score
IND,India,1960,312.777847829868,,,
IND,India,1961,316.739644665114,,,
IND,India,1962,318.381945826526,,,
IND,India,1963,329.64149485279,,,
IND,India,1964,346.011883332873,,,
IND,India,1965,329.392574458173,,,
IND,India,1966,322.241317769904,,,
IND,India,1967,340.080025745202,,,
IND,India,1968,344.128288078031,,,
IND,India,1969,358.966799409582,,,
IND,India,1970,369.19248063917,,,
IND,India,1971,367.033309772096,,,
IND,India,1972,357.07792915078,,,
IND,India,1973,360.637844054436,,,
IND,India,1974,356.615069655557,,,
IND,India,1975,380.159941384358,,,
IND,India,1976,377.496025416227,,,
IND,India,1977,395.443306819602,,,
IND,India,1978,408.51694440403,,,
IND,India,1979,378.219592791247,,,
IND,India,1980,394.182239921013,,0.362,
IND,India,1981,408.153549793307,,,
IND,India,1982,412.596737104221,,,
IND,India,1983,432.429235384759,,,
IND,India,1984,438.541705512915,,,
IND,India,1985,450.966703855867,,0.397,
IND,India,1986,461.725611476403,,,
IND,India,1987,469.209956296394,,,
IND,India,1988,502.937342187065,,,
IND,India,1989,521.073383839123,,,
IND,India,1990,537.870269536103,2139.82749174123,0.427,
IND,India,1991,531.898397833351,2116.06939249228,0.432,
IND,India,1992,549.235069964895,2185.04046180678,0.438,
IND,India,1993,563.372872336747,2241.28535932488,0.445,
IND,India,1994,588.727892180632,2342.15609263829,0.452,
IND,India,1995,620.699954336366,2469.3516292637,0.46,
IND,India,1996,654.355928434052,2603.24632974171,0.467,
IND,India,1997,667.598423093399,2655.92939429507,0.473,
IND,India,1998,695.293709337082,2766.110488608,0.48,
IND,India,1999,742.53920839812,2954.0688560393,0.488,
IND,India,2000,756.704109533187,3010.42156148397,0.493,
IND,India,2001,778.507377522499,3097.16224022342,0.498,
IND,India,2002,793.615912901002,3157.26903770593,0.504,
IND,India,2003,841.278894562408,3346.8882902915,0.517,
IND,India,2004,892.596614580718,3551.04731213773,0.526,
IND,India,2005,947.732565644272,3770.39653173829,0.535,
IND,India,2006,1008.23275344818,4011.08647585805,0.545,
IND,India,2007,1069.24696812234,4253.82139046739,0.556,
IND,India,2008,1086.50605251005,4322.48378983546,0.564,
IND,India,2009,1155.10163273817,4595.37990753812,0.57,
IND,India,2010,1235.15939132939,4913.87639723705,0.581,
IND,India,2011,1281.61054354937,5098.67458775444,0.591,
IND,India,2012,1333.09626557649,5303.50197767655,0.6,
IND,India,2013,1399.4537980281,5567.49439418718,0.607,
IND,India,2014,1484.31640682961,5905.10618204633,0.618,
IND,India,2015,1583.99815907985,6301.67346968236,0.627,
IND,India,2016,1694.46534973787,6741.14883185347,0.636,
IND,India,2017,1788.69770318481,7116.03659185396,0.64,
